customer_id,month,plan_id,mrr
1,01/01/2023,3,200
2,01/01/2023,2,100
3,01/01/2023,1,50
4,01/01/2023,,0
5,01/01/2023,1,50
6,01/01/2023,1,50
7,01/01/2023,1,50
8,01/01/2023,2,100
9,01/01/2023,3,200
10,01/01/2023,1,50
11,01/01/2023,1,50
12,01/01/2023,1,50
13,01/01/2023,,0
14,01/01/2023,2,100
15,01/01/2023,2,100
1,01/02/2023,3,200
2,01/02/2023,2,100
3,01/02/2023,1,50
5,01/02/2023,1,50
6,01/02/2023,1,50
7,01/02/2023,1,50
8,01/02/2023,2,100
9,01/02/2023,3,200
10,01/02/2023,1,50
11,01/02/2023,1,50
12,01/02/2023,1,50
14,01/02/2023,2,100
15,01/02/2023,2,100
16,01/02/2023,2,100
17,01/02/2023,1,50
18,01/02/2023,3,200
19,01/02/2023,3,200
20,01/02/2023,2,100
21,01/02/2023,1,50
22,01/02/2023,,0
23,01/02/2023,1,50
24,01/02/2023,3,200
25,01/02/2023,1,50
26,01/02/2023,3,200
27,01/02/2023,,0
28,01/02/2023,2,100
29,01/02/2023,3,200
30,01/02/2023,2,100
31,01/02/2023,3,200
32,01/02/2023,2,100
33,01/02/2023,1,50
34,01/02/2023,1,50
35,01/02/2023,1,50
36,01/02/2023,1,50
37,01/02/2023,1,50
38,01/02/2023,1,50
39,01/02/2023,1,50
40,01/02/2023,1,50
41,01/02/2023,2,100
42,01/02/2023,,0
1,01/03/2023,3,200
2,01/03/2023,3,200
3,01/03/2023,1,50
5,01/03/2023,1,50
6,01/03/2023,1,50
7,01/03/2023,1,50
8,01/03/2023,2,100
9,01/03/2023,3,200
10,01/03/2023,1,50
11,01/03/2023,1,50
12,01/03/2023,1,50
14,01/03/2023,2,100
15,01/03/2023,1,50
16,01/03/2023,2,100
17,01/03/2023,2,100
18,01/03/2023,3,200
19,01/03/2023,3,200
20,01/03/2023,3,200
21,01/03/2023,1,50
23,01/03/2023,1,50
24,01/03/2023,3,200
25,01/03/2023,1,50
26,01/03/2023,3,200
28,01/03/2023,2,100
29,01/03/2023,3,200
30,01/03/2023,2,100
31,01/03/2023,3,200
32,01/03/2023,2,100
33,01/03/2023,1,50
34,01/03/2023,1,50
35,01/03/2023,1,50
36,01/03/2023,1,50
37,01/03/2023,1,50
38,01/03/2023,1,50
39,01/03/2023,1,50
40,01/03/2023,1,50
41,01/03/2023,2,100
43,01/03/2023,1,50
44,01/03/2023,1,50
45,01/03/2023,1,50
46,01/03/2023,1,50
47,01/03/2023,1,50
48,01/03/2023,2,100
49,01/03/2023,1,50
50,01/03/2023,3,200
51,01/03/2023,1,50
52,01/03/2023,2,100
53,01/03/2023,1,50
54,01/03/2023,3,200
55,01/03/2023,2,100
56,01/03/2023,2,100
57,01/03/2023,1,50
58,01/03/2023,3,200
59,01/03/2023,1,50
60,01/03/2023,3,200
61,01/03/2023,3,200
62,01/03/2023,1,50
63,01/03/2023,1,50
64,01/03/2023,1,50
65,01/03/2023,1,50
66,01/03/2023,1,50
67,01/03/2023,2,100
68,01/03/2023,1,50
69,01/03/2023,1,50
70,01/03/2023,1,50
71,01/03/2023,3,200
72,01/03/2023,1,50
73,01/03/2023,2,100
74,01/03/2023,1,50
75,01/03/2023,2,100
76,01/03/2023,1,50
77,01/03/2023,3,200
78,01/03/2023,1,50
79,01/03/2023,1,50
80,01/03/2023,2,100
81,01/03/2023,1,50
82,01/03/2023,1,50
83,01/03/2023,1,50
84,01/03/2023,2,100
85,01/03/2023,1,50
1,01/04/2023,3,200
2,01/04/2023,3,200
3,01/04/2023,1,50
5,01/04/2023,1,50
6,01/04/2023,,0
7,01/04/2023,1,50
8,01/04/2023,2,100
9,01/04/2023,3,200
10,01/04/2023,1,50
11,01/04/2023,1,50
12,01/04/2023,1,50
14,01/04/2023,2,100
15,01/04/2023,1,50
16,01/04/2023,2,100
17,01/04/2023,,0
18,01/04/2023,3,200
19,01/04/2023,3,200
20,01/04/2023,3,200
21,01/04/2023,1,50
23,01/04/2023,1,50
24,01/04/2023,3,200
25,01/04/2023,1,50
26,01/04/2023,3,200
28,01/04/2023,2,100
29,01/04/2023,3,200
30,01/04/2023,2,100
31,01/04/2023,3,200
32,01/04/2023,2,100
33,01/04/2023,1,50
34,01/04/2023,1,50
35,01/04/2023,1,50
36,01/04/2023,1,50
37,01/04/2023,1,50
38,01/04/2023,1,50
39,01/04/2023,1,50
40,01/04/2023,1,50
41,01/04/2023,2,100
43,01/04/2023,1,50
44,01/04/2023,1,50
45,01/04/2023,1,50
46,01/04/2023,1,50
47,01/04/2023,1,50
48,01/04/2023,2,100
49,01/04/2023,,0
50,01/04/2023,3,200
51,01/04/2023,1,50
